UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2968016
1	0.2968565
2	0.2968321
3	0.2968077
4	0.2968992
5	0.2967772
6	0.2968382
7	0.2968504
8	0.2968199
9	0.296826
10	0.2968199
11	0.2968565
12	0.296826
13	0.2967894
14	0.2968504
15	0.2968199
16	0.2967772
17	0.296826
18	0.2968626
19	0.2967833
20	0.296826
21	0.2967711
22	0.2967894
23	0.2967955
24	0.296826
25	0.2968138
26	0.2968626
27	0.2968199
28	0.2968199
29	0.2968016
30	0.2967833
31	0.296826
32	0.2968687
33	0.296826
34	0.2968199
35	0.2968382
36	0.296826
37	0.2968382
38	0.2968199
39	0.2968138
40	0.2968321
41	0.2968504
42	0.2968077
43	0.2968138
44	0.2968199
45	0.2967894
46	0.2967589
47	0.2968687
48	0.296887
49	0.2968199
50	0.2968077
51	0.2968504
52	0.2968077
53	0.2968504
54	0.2968077
55	0.2968504
56	0.2968077
57	0.2968138
58	0.2968077
59	0.2968443
60	0.2968382
61	0.2967955
62	0.2968382
63	0.2967894
64	0.2968443
65	0.2968016
66	0.2968138
67	0.2968321
68	0.2968016
69	0.2968199
70	0.2968016
71	0.2967955
72	0.2967955
73	0.2968321
74	0.2968443
75	0.296826
76	0.296826
77	0.2968138
78	0.2967772
79	0.2968382
80	0.2968504
81	0.2967711
82	0.296826
83	0.2967894
84	0.2968321
85	0.2968199
86	0.2968138
87	0.2968321
88	0.2967894
89	0.2968077
90	0.2968321
91	0.2967284
92	0.2967894
93	0.2968016
94	0.2968077
95	0.2968321
96	0.2968138
97	0.2968565
98	0.2967772
99	0.2967711
100	0.2968199
101	0.2967772
102	0.2968138
