UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2130913
1	0.2130608
2	0.2130059
3	0.2129998
4	0.2130547
5	0.2130364
6	0.2129876
7	0.2131523
8	0.2130791
9	0.2130791
10	0.2131157
11	0.2130608
12	0.2130364
13	0.2131462
14	0.2131401
15	0.2131279
16	0.2130364
17	0.2130486
18	0.2130669
19	0.2129815
20	0.2130974
21	0.2131218
22	0.2131157
23	0.2131523
24	0.213073
25	0.2130852
26	0.2130669
27	0.2130486
28	0.2129449
29	0.2130669
30	0.2131279
31	0.2132133
32	0.2131401
33	0.2130852
34	0.2131706
35	0.2130608
36	0.2129327
37	0.2130669
38	0.2131096
39	0.2131523
40	0.2131462
41	0.213012
42	0.2131096
43	0.2131218
44	0.2129815
45	0.2131889
46	0.2130303
47	0.2131157
48	0.2129937
49	0.2130913
50	0.2129754
51	0.2129937
