UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2297077
1	0.2296284
2	0.2297321
3	0.2295918
4	0.2296772
5	0.2295674
6	0.2297565
7	0.2297016
8	0.2297199
9	0.2297504
10	0.2296284
11	0.2298297
12	0.2298175
13	0.2296101
14	0.2295491
15	0.2297565
16	0.2297992
17	0.229543
18	0.2296772
19	0.2295552
20	0.229787
21	0.229604
22	0.2297382
23	0.2297138
24	0.2295552
25	0.2296772
26	0.2295674
27	0.2296345
28	0.2294698
29	0.2297992
30	0.2297565
31	0.2296101
32	0.2295369
33	0.2296711
34	0.2296284
35	0.2296467
36	0.2296101
37	0.2296284
38	0.2295674
39	0.2298175
40	0.2295857
41	0.229665
42	0.2294942
43	0.2294881
44	0.2297504
45	0.2296894
46	0.2296406
47	0.2295186
48	0.229665
49	0.2296162
50	0.2295796
51	0.229726
52	0.2295369
53	0.2296223
54	0.2296833
55	0.2296345
56	0.2297138
57	0.2296833
58	0.2298053
59	0.2296772
60	0.2296894
61	0.2297321
62	0.2294759
63	0.229665
64	0.2296345
65	0.229665
66	0.2295735
67	0.2297565
68	0.2295125
69	0.2296833
70	0.2296223
71	0.2295552
72	0.2296955
73	0.2297016
74	0.2296162
75	0.2296772
76	0.2295613
77	0.2295796
78	0.229604
79	0.2294759
