UDS100-Channel(X)	UDS100-Channel(Y)
0	0.25498
1	0.2549434
2	0.2550166
3	0.254919
4	0.2549983
5	0.2549617
6	0.2548824
7	0.2548946
8	0.2548702
9	0.2549495
10	0.2549922
11	0.2549068
12	0.25498
13	0.2550166
14	0.2550288
15	0.2550105
16	0.2549739
17	0.2549678
18	0.2549861
19	0.2548824
20	0.2548458
21	0.2548946
22	0.2548885
23	0.2548824
24	0.2550471
25	0.2548946
26	0.2548275
27	0.2549495
28	0.2549434
29	0.2548763
30	0.2549129
31	0.2549312
32	0.2548946
33	0.2549739
34	0.2550227
35	0.2550471
36	0.2548336
37	0.2548275
38	0.2550898
39	0.2549495
40	0.25498
41	0.2549556
42	0.2549434
43	0.2549373
44	0.254797
45	0.2549312
46	0.2550959
47	0.2548885
48	0.2550227
49	0.2549129
50	0.2549678
51	0.2549678
52	0.254919
53	0.2549373
54	0.254919
55	0.2549434
56	0.2549373
57	0.2548702
58	0.2549983
59	0.2547482
60	0.25498
61	0.2549312
62	0.2549556
63	0.2550044
64	0.2549312
65	0.25498
66	0.255041
67	0.2549251
68	0.2549983
69	0.2549068
70	0.2549068
71	0.2549434
72	0.2549556
73	0.2548763
74	0.254919
75	0.2549068
76	0.2549617
77	0.2549983
78	0.254919
79	0.2549434
80	0.2548458
81	0.2549373
82	0.2549556
83	0.2548214
84	0.2549068
85	0.2548885
86	0.254858
87	0.2550166
88	0.2550105
89	0.2548458
90	0.2549007
91	0.2549495
92	0.2549983
93	0.2548275
94	0.25498
95	0.2548519
96	0.2549861
97	0.2549739
98	0.2549312
99	0.2548153
100	0.2548214
101	0.2549251
102	0.2547665
