UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2438536
1	0.2438414
2	0.2438414
3	0.2438963
4	0.2437865
5	0.2439146
6	0.2437926
7	0.2438963
8	0.2437194
9	0.2436889
10	0.2438292
11	0.2439634
12	0.2438353
13	0.2438292
14	0.243878
15	0.2437926
16	0.2439085
17	0.2437377
18	0.2438109
19	0.2438414
20	0.2438658
21	0.243695
22	0.2437133
23	0.2436889
24	0.2435974
25	0.2436889
26	0.2438658
27	0.2438597
28	0.2438292
29	0.2438475
30	0.2437682
31	0.2438353
32	0.2439512
33	0.243817
34	0.2438109
35	0.2437682
36	0.2438109
37	0.2438902
38	0.2438475
39	0.2439817
40	0.2440061
41	0.2440183
42	0.2439207
43	0.243695
44	0.243817
45	0.2439268
46	0.2438109
47	0.2437255
48	0.2437621
49	0.2438048
50	0.2438353
51	0.2438536
52	0.2438414
53	0.2437682
54	0.2437499
55	0.2438536
56	0.2439146
57	0.2437499
58	0.2438841
59	0.2437682
60	0.2438963
61	0.2438231
62	0.2437926
63	0.2440061
64	0.2438353
65	0.2438475
66	0.2437682
67	0.2438536
68	0.2438536
69	0.2437743
70	0.2437804
71	0.2438353
72	0.2437743
73	0.2436279
74	0.2437987
75	0.2438597
76	0.2437682
77	0.243878
78	0.2437987
79	0.2437682
80	0.2438048
81	0.243756
82	0.2438353
83	0.2439756
84	0.2437011
85	0.2439634
86	0.2437133
87	0.2437926
88	0.2436767
89	0.2438475
90	0.2437987
91	0.243756
92	0.2440305
93	0.2437682
94	0.243756
95	0.2437682
96	0.2437621
97	0.2437255
98	0.2436645
99	0.2436584
100	0.2438414
101	0.2437316
102	0.2438597
103	0.2437804
