UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2640263
1	0.2640934
2	0.2640324
3	0.26413
4	0.26413
5	0.26413
6	0.2640751
7	0.2641483
8	0.2641178
9	0.2641544
10	0.2640446
11	0.2642215
12	0.2642215
13	0.2640751
14	0.2641117
15	0.2640568
16	0.2640751
17	0.2641483
18	0.2640812
19	0.2641117
20	0.2641117
21	0.2641971
22	0.2640446
23	0.2640629
24	0.2640385
25	0.2640812
26	0.2641422
27	0.2641422
28	0.2640446
29	0.2639836
30	0.2641239
31	0.2642215
32	0.2640202
33	0.2640263
34	0.2640934
35	0.2640324
36	0.2640995
37	0.2641239
38	0.2640934
39	0.2640812
40	0.2640629
41	0.2640995
42	0.2640507
43	0.264069
44	0.2640019
45	0.2641239
46	0.2640812
47	0.2640934
48	0.2639409
49	0.2642093
50	0.2640934
51	0.2641544
52	0.2641544
53	0.2640812
54	0.2640507
55	0.2641666
56	0.2641117
57	0.2641239
58	0.263947
59	0.2640751
60	0.2641117
61	0.2641239
62	0.2641117
63	0.2640507
64	0.2641239
65	0.26413
66	0.26413
67	0.2641849
68	0.2640812
69	0.2641422
70	0.2640141
71	0.26413
72	0.2640934
73	0.2640812
74	0.2640019
75	0.2641727
76	0.2641788
77	0.264069
78	0.264008
79	0.2641483
80	0.2640751
81	0.2640934
82	0.2640934
83	0.2641605
84	0.2641849
85	0.2640995
86	0.2641849
87	0.2640934
88	0.264069
89	0.2640934
90	0.2641483
91	0.2640812
92	0.2640995
93	0.2641788
94	0.26413
95	0.2640141
96	0.2641971
97	0.2640263
98	0.2639897
99	0.2641605
100	0.2640385
101	0.264008
102	0.2640751
103	0.2641483
104	0.2640507
105	0.2639897
106	0.2640873
107	0.2640263
108	0.2641483
109	0.2641056
110	0.2641483
111	0.2641483
112	0.2640568
113	0.2640446
114	0.2641544
115	0.264008
116	0.2641239
117	0.2640629
118	0.2639714
