UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2871148
1	0.2870843
2	0.2871392
3	0.2871026
4	0.2870782
5	0.2871331
6	0.287066
7	0.2871087
8	0.2870965
9	0.2871392
10	0.2871514
11	0.2871087
12	0.2871453
13	0.287127
14	0.2871331
15	0.2870965
16	0.2870965
17	0.2870904
18	0.2871148
19	0.2870965
20	0.287127
21	0.2870965
22	0.2871026
23	0.2871026
24	0.2871209
25	0.2871087
26	0.2870904
27	0.2871331
28	0.2870904
29	0.2870782
30	0.2870965
31	0.2871148
32	0.2871453
33	0.2871209
34	0.2871087
35	0.2870965
36	0.287127
37	0.2871087
38	0.2871026
39	0.2870965
40	0.2871087
41	0.2870904
42	0.2871453
43	0.2871148
44	0.2870904
45	0.2870965
46	0.2870843
47	0.2871575
48	0.2870843
49	0.2871026
50	0.2870904
51	0.2871453
52	0.2870843
53	0.2871148
54	0.2871392
55	0.2871087
56	0.2870538
57	0.2870965
58	0.2870843
59	0.2870965
60	0.2870843
61	0.2870782
62	0.2870477
63	0.2870965
64	0.2871148
65	0.2871209
66	0.2871209
67	0.2871453
68	0.2871026
69	0.2870721
70	0.2870904
71	0.2870904
72	0.2871575
73	0.2870904
74	0.2871331
75	0.2870843
76	0.2870843
77	0.287066
78	0.2870721
79	0.2870843
80	0.2870843
81	0.2870965
82	0.2870965
83	0.287127
84	0.2871026
85	0.2871331
86	0.2870904
87	0.2870904
88	0.2870782
89	0.2871209
90	0.2870721
91	0.2870904
92	0.2871026
93	0.2871148
94	0.2871026
95	0.287127
96	0.2871087
97	0.2871148
98	0.2870721
99	0.2871026
100	0.2870904
101	0.2870904
102	0.2871453
103	0.2871026
104	0.287127
105	0.2870904
106	0.2870782
