UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2490691
1	0.2491545
2	0.2489105
3	0.2489837
4	0.2489288
5	0.2488495
6	0.2490081
7	0.2489105
8	0.2490752
9	0.2489898
10	0.2489959
11	0.2489776
12	0.2490874
13	0.2491301
14	0.2488739
15	0.2488312
16	0.2489593
17	0.249063
18	0.2489715
19	0.2489044
20	0.2490203
21	0.2489837
22	0.2490996
23	0.2490752
24	0.249063
25	0.2490508
26	0.2486726
27	0.2489715
28	0.2489715
29	0.2489654
30	0.2490081
31	0.2489349
32	0.2489349
33	0.2490386
34	0.2491484
35	0.2488739
36	0.2488556
37	0.2489776
38	0.2488739
39	0.2489227
40	0.2489715
41	0.2490264
42	0.2487763
43	0.2488556
44	0.2489654
45	0.2489288
46	0.2489105
47	0.2490874
48	0.2489654
49	0.2487763
50	0.2490081
51	0.2488556
52	0.2491972
53	0.2488495
54	0.2489532
55	0.2489227
56	0.2489593
57	0.248819
58	0.2490142
59	0.2489471
60	0.2489593
61	0.2489715
62	0.2490874
63	0.2491423
64	0.248941
65	0.2489044
66	0.2490386
67	0.249124
68	0.2488617
69	0.2487824
70	0.2488739
71	0.24888
72	0.2489105
73	0.2489166
74	0.2488495
75	0.248941
76	0.2489349
77	0.2490325
78	0.2489837
79	0.2487153
80	0.2488922
81	0.248819
82	0.2487458
83	0.248941
84	0.249002
85	0.2489166
86	0.2488739
87	0.2491362
88	0.2489105
89	0.248941
90	0.2489532
91	0.2488312
92	0.248819
93	0.2490386
94	0.2489593
95	0.2488312
96	0.249063
97	0.2489288
98	0.2487458
99	0.2488495
100	0.24888
101	0.2489898
