UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2967467
1	0.2967284
2	0.2967406
3	0.2966857
4	0.2967101
5	0.2967101
6	0.296765
7	0.2966918
8	0.296704
9	0.2967162
10	0.2966979
11	0.2967528
12	0.2966796
13	0.296704
14	0.2967284
15	0.2966796
16	0.2967284
17	0.2966857
18	0.296765
19	0.2967101
20	0.2967162
21	0.2967711
22	0.2967101
23	0.2967589
24	0.2967284
25	0.2967406
26	0.2967833
27	0.2966857
28	0.2967162
29	0.2967162
30	0.2966735
31	0.2967284
32	0.2967345
33	0.2967467
34	0.2966979
35	0.2967406
36	0.2967467
37	0.2967589
38	0.2967406
39	0.2967162
40	0.2967589
41	0.2967162
42	0.2967467
43	0.2967284
44	0.2966918
45	0.2967223
46	0.2967467
47	0.2966857
48	0.2967162
49	0.2966979
50	0.2967345
51	0.2967406
52	0.2967406
53	0.2967772
54	0.2966796
55	0.2967162
56	0.2966918
57	0.2966491
58	0.2967589
59	0.2966979
60	0.2967284
61	0.2967162
62	0.2967711
63	0.2966857
64	0.296765
65	0.2967223
66	0.2967406
67	0.2966796
68	0.2966613
69	0.296765
70	0.2967528
71	0.2966491
72	0.2966857
73	0.2966491
74	0.296765
75	0.2967528
76	0.2967162
77	0.2966674
78	0.2967284
79	0.2967284
80	0.2967162
81	0.2967223
82	0.296704
83	0.2967528
84	0.2966491
85	0.2966979
86	0.2967711
87	0.2966552
88	0.2966979
89	0.2967589
90	0.2967406
91	0.2967467
92	0.296643
93	0.296704
94	0.2967345
95	0.2966796
96	0.2967101
97	0.2967223
98	0.2966979
99	0.2967162
100	0.2967223
101	0.2966979
