UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2031422
1	0.2031361
2	0.2030934
3	0.2031666
4	0.2031666
5	0.2031361
6	0.2032398
7	0.2030568
8	0.2032459
9	0.2031544
10	0.2030995
11	0.2032947
12	0.2030812
13	0.20313
14	0.2031178
15	0.203008
16	0.2030141
17	0.2030995
18	0.2030263
19	0.2030324
20	0.2031239
21	0.2030751
22	0.2031788
23	0.2031666
24	0.2032276
25	0.2030812
26	0.2031056
27	0.203008
28	0.2030751
29	0.2031361
30	0.2030934
31	0.2032032
32	0.2032337
33	0.2031483
34	0.2031849
35	0.2030812
36	0.2030019
37	0.2032093
38	0.2030263
39	0.2032154
40	0.2032642
41	0.2031239
42	0.2031117
43	0.2031056
44	0.2031483
45	0.2031544
46	0.2031605
47	0.2032337
48	0.2029226
49	0.2033252
50	0.203191
51	0.2029897
52	0.2032337
53	0.2030812
54	0.2030995
55	0.2031422
56	0.20313
57	0.203069
58	0.2030873
59	0.2030019
60	0.2031788
61	0.2028738
62	0.2031178
63	0.2029653
64	0.2031056
65	0.2031788
66	0.2030629
67	0.2032337
