UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2891461
1	0.2891827
2	0.2891705
3	0.2890058
4	0.2890302
5	0.2890363
6	0.2889753
7	0.2890424
8	0.2890302
9	0.2891766
10	0.2891034
11	0.2890241
12	0.2891278
13	0.2889326
14	0.289079
15	0.2892071
16	0.2890729
17	0.2891705
18	0.2889753
19	0.2891949
20	0.2890485
21	0.2890973
22	0.2891156
23	0.2891766
24	0.2890729
25	0.2889082
26	0.2891888
27	0.2890241
28	0.2890729
29	0.2891156
30	0.2891217
31	0.2889936
32	0.2891644
33	0.2890058
34	0.2891583
35	0.2891095
36	0.2891217
37	0.2890363
38	0.289079
39	0.2889143
40	0.2888655
41	0.2891583
42	0.2890851
43	0.289079
44	0.2891461
45	0.2889387
46	0.2890485
47	0.2890912
48	0.2889387
49	0.2889631
50	0.2890973
51	0.2890302
52	0.2891461
53	0.2890973
54	0.2888777
55	0.2891034
56	0.2891034
57	0.2890973
58	0.2890546
59	0.289079
60	0.2891156
61	0.288957
62	0.289018
63	0.2890424
64	0.2889997
65	0.2890058
66	0.2891583
67	0.2890363
68	0.2890241
69	0.288896
70	0.2890729
71	0.2891034
72	0.2890424
73	0.2890302
74	0.2890729
75	0.2890119
76	0.289018
77	0.2891461
78	0.2892254
79	0.2889936
80	0.2890912
81	0.2891827
82	0.2890058
83	0.2890912
84	0.2890912
85	0.2891034
86	0.2890363
87	0.2890119
88	0.2891949
89	0.2890546
90	0.2891095
91	0.289018
92	0.2890973
93	0.2889753
94	0.2891522
95	0.2890363
96	0.2890607
97	0.2889509
