UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2942518
1	0.2942274
2	0.2941664
3	0.2942213
4	0.2941481
5	0.2942152
6	0.294203
7	0.2941664
8	0.294142
9	0.294203
10	0.2942579
11	0.2942274
12	0.2940871
13	0.294203
14	0.294203
15	0.2941908
16	0.294142
17	0.2941664
18	0.2942335
19	0.2942335
20	0.2942152
21	0.2942396
22	0.2941481
23	0.2941969
24	0.2941237
25	0.2941786
26	0.294203
27	0.2942823
28	0.2942152
29	0.2942701
30	0.2941725
31	0.2941359
32	0.2940871
33	0.2942152
34	0.2941359
35	0.2942518
36	0.2941298
37	0.2941786
38	0.2942396
39	0.2942335
40	0.2941786
41	0.2941847
42	0.2941542
43	0.2941847
44	0.294142
45	0.2941664
46	0.2941542
47	0.2941969
48	0.2941908
49	0.2941237
50	0.2942274
51	0.2942335
52	0.2940993
53	0.2941603
54	0.2941298
55	0.2941115
56	0.2941481
57	0.2940322
58	0.2942213
59	0.2942213
60	0.2941481
61	0.2942213
62	0.2941725
63	0.2942152
64	0.294142
65	0.2941603
66	0.2941786
67	0.2941786
68	0.2942396
69	0.2941054
70	0.294142
71	0.2941908
72	0.294203
73	0.294203
74	0.2942518
75	0.2941359
76	0.2942091
77	0.2941481
78	0.2942335
79	0.2941664
80	0.2941237
81	0.2940627
82	0.2941298
83	0.2940871
84	0.2942213
85	0.2942213
86	0.2941237
87	0.2941237
88	0.2941786
89	0.2941908
90	0.2941603
91	0.2941603
92	0.2941664
93	0.294203
94	0.2942213
95	0.2941481
96	0.2940566
