UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2749148
1	0.2749941
2	0.2749453
3	0.2749514
4	0.2749331
5	0.2749697
6	0.2749758
7	0.274927
8	0.2749758
9	0.2749941
10	0.2749392
11	0.2749758
12	0.2749148
13	0.2749819
14	0.2749209
15	0.2749392
16	0.2749575
17	0.2749575
18	0.2749575
19	0.2749636
20	0.2749453
21	0.2749331
22	0.2749636
23	0.2749697
24	0.2749636
25	0.2749209
26	0.2749941
27	0.274988
28	0.2749209
29	0.2749392
30	0.2749575
31	0.2749209
32	0.2749514
33	0.2749758
34	0.2749209
35	0.2749697
36	0.2749819
37	0.2749758
38	0.2749514
39	0.2749331
40	0.2749392
41	0.2749453
42	0.2749575
43	0.2749331
44	0.2749514
45	0.2749636
46	0.274988
47	0.2749392
48	0.2749575
49	0.2749453
50	0.2749392
51	0.2749758
52	0.2750063
53	0.2749453
54	0.2749758
55	0.2749331
56	0.2749575
57	0.2749514
58	0.2749148
59	0.2749453
60	0.2749453
61	0.2749087
62	0.2749392
63	0.274927
64	0.2749758
65	0.2749819
66	0.2749514
67	0.2749636
68	0.2749575
69	0.2749514
70	0.2749636
71	0.2749331
72	0.2749453
73	0.2749636
74	0.2749697
75	0.2749514
76	0.2749575
77	0.2749514
78	0.2749636
79	0.2749758
80	0.2749636
81	0.2749392
82	0.2749636
83	0.2749575
84	0.2749514
85	0.274927
86	0.2749514
87	0.2749392
88	0.2749453
89	0.2749453
90	0.2749392
91	0.2749026
92	0.2749087
93	0.2750002
94	0.2749819
95	0.2749331
96	0.2749514
97	0.2749514
98	0.2749819
99	0.2749514
100	0.2750063
