UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2945202
1	0.2945446
2	0.2945141
3	0.2945324
4	0.2945141
5	0.2945629
6	0.2945385
7	0.2945019
8	0.2945446
9	0.2944836
10	0.2945263
11	0.2945507
12	0.2945507
13	0.2945446
14	0.2945263
15	0.2945324
16	0.2945507
17	0.2945263
18	0.2945568
19	0.294508
20	0.2945202
21	0.294569
22	0.2945568
23	0.2945568
24	0.2945202
25	0.2945324
26	0.2945202
27	0.2945568
28	0.2945324
29	0.2945568
30	0.2945568
31	0.2945202
32	0.2945385
33	0.2945019
34	0.2945446
35	0.2945385
36	0.2945507
37	0.2945629
38	0.2945141
39	0.2945202
40	0.2945568
41	0.2945324
42	0.2945019
43	0.2945324
44	0.2945202
45	0.2944958
46	0.2945507
47	0.294569
48	0.2945629
49	0.2945324
50	0.2945446
51	0.2944958
52	0.2945507
53	0.2945629
54	0.2945507
55	0.294508
56	0.2945629
57	0.2945507
58	0.2945629
59	0.2945263
60	0.2945324
61	0.294508
62	0.2945507
63	0.2945263
64	0.2945263
65	0.2945263
66	0.2945202
67	0.2945019
68	0.2945812
69	0.2945385
70	0.2945507
71	0.294508
72	0.294508
73	0.2945263
74	0.294508
75	0.2945385
76	0.2945507
77	0.2944836
78	0.2946117
79	0.2945385
80	0.2945385
81	0.2945202
82	0.2945202
83	0.2945385
84	0.2945507
85	0.2945263
86	0.294569
87	0.2945263
88	0.2945385
89	0.2945385
90	0.2945263
91	0.2945446
92	0.2945629
93	0.294569
94	0.2944897
95	0.2945385
96	0.2945141
97	0.2945446
98	0.2944958
99	0.2945446
100	0.2945568
101	0.2945324
102	0.2945263
103	0.2945507
104	0.2945202
105	0.2945385
