UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2369911
1	0.2371436
2	0.2369057
3	0.2370216
4	0.237046
5	0.2370094
6	0.2369545
7	0.2369484
8	0.236863
9	0.2370155
10	0.2370155
11	0.2368874
12	0.2370033
13	0.2369789
14	0.2369545
15	0.2369362
16	0.2369667
17	0.2370582
18	0.2370277
19	0.2370399
20	0.2368935
21	0.2369362
22	0.2370094
23	0.236985
24	0.2369301
25	0.2368325
26	0.2368752
27	0.2369423
28	0.2370704
29	0.2370033
30	0.2369484
31	0.2369728
32	0.2369301
33	0.2369484
34	0.237046
35	0.2369667
36	0.2369179
37	0.2370155
38	0.2369179
