UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2918789
1	0.2918667
2	0.2918789
3	0.2918484
4	0.2918789
5	0.2918057
6	0.2918362
7	0.2918545
8	0.2918606
9	0.2918972
10	0.2918423
11	0.2917935
12	0.2918057
13	0.2918606
14	0.2918301
15	0.2919033
16	0.2918728
17	0.2917813
18	0.2918728
19	0.2918667
20	0.2917996
21	0.2917874
22	0.2918362
23	0.2918118
24	0.2918179
25	0.2918362
26	0.2918606
27	0.2918362
28	0.2918911
29	0.2918362
30	0.2917813
31	0.291824
32	0.2918484
33	0.2917508
34	0.2917752
35	0.2918606
36	0.2918667
37	0.2918179
38	0.2917203
39	0.2918118
40	0.2918301
41	0.2918911
42	0.2918423
43	0.2917691
44	0.2918362
45	0.2918362
46	0.2918362
47	0.2917996
48	0.2918545
49	0.2918362
50	0.2917935
51	0.2918545
52	0.2918362
53	0.2917447
54	0.2918423
55	0.2917813
56	0.2918484
57	0.2918545
58	0.2918484
59	0.2918728
60	0.2918301
61	0.2918179
62	0.2918057
63	0.2918423
64	0.2918545
65	0.2917874
66	0.2918667
67	0.2918118
68	0.2917935
69	0.291885
70	0.2918545
71	0.2918179
72	0.291885
73	0.2917752
74	0.2917874
75	0.2917691
76	0.2918484
77	0.2917447
78	0.2918423
79	0.2918545
80	0.2918057
81	0.2918728
82	0.2918423
83	0.2918911
84	0.2918972
85	0.2917935
86	0.2917935
87	0.2918362
88	0.2917508
89	0.2918179
90	0.2917813
91	0.2917813
92	0.2918118
93	0.2917508
94	0.2918118
95	0.2918789
96	0.2918118
97	0.291763
98	0.291763
99	0.2918789
100	0.2918423
