UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2934954
1	0.293593
2	0.2934771
3	0.2935991
4	0.2934466
5	0.2935564
6	0.2935686
7	0.2935869
8	0.293532
9	0.2934771
10	0.2935808
11	0.2935259
12	0.2935503
13	0.2934832
14	0.2934283
15	0.2933917
16	0.2934649
17	0.2935198
18	0.2935198
19	0.2934954
20	0.2934954
21	0.2934344
22	0.2934954
23	0.2935808
24	0.293593
25	0.2935259
26	0.2934039
27	0.2935442
28	0.2934771
29	0.293471
30	0.2935076
31	0.2935503
32	0.2935991
33	0.2933856
34	0.2934222
35	0.293532
36	0.2935015
37	0.2935076
38	0.2934466
39	0.2936052
40	0.2934771
41	0.2934954
42	0.2935198
43	0.2934588
44	0.2935503
45	0.2935564
46	0.2934893
47	0.2934161
48	0.293532
49	0.2934588
50	0.2934466
51	0.2933795
52	0.293532
53	0.2934588
54	0.2935015
55	0.2935503
56	0.2934405
57	0.2934039
58	0.2934893
59	0.2934832
60	0.2935686
61	0.2935381
62	0.2934161
63	0.2933612
64	0.293471
65	0.2934466
66	0.2935564
67	0.2934466
68	0.2934893
69	0.2934283
70	0.2934344
71	0.2935198
72	0.2935198
73	0.2934466
74	0.2935442
75	0.2935137
76	0.2935015
77	0.2935076
78	0.2934649
79	0.293471
80	0.2934588
81	0.2935686
82	0.2935503
83	0.2934222
84	0.2934954
85	0.2934039
86	0.2934161
87	0.2934161
88	0.2935198
89	0.293532
90	0.2936479
91	0.2934649
92	0.2935686
93	0.2935198
94	0.2934527
95	0.2934527
96	0.29341
97	0.2934466
98	0.2935259
99	0.2933856
100	0.2935503
