UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2909029
1	0.2908419
2	0.2909456
3	0.2908114
4	0.2909395
5	0.290787
6	0.2907687
7	0.2907626
8	0.2909456
9	0.2908419
10	0.2908297
11	0.2907382
12	0.2908358
13	0.2908419
14	0.2908785
15	0.2909578
16	0.290848
17	0.2908053
18	0.2908114
19	0.290726
20	0.2908297
21	0.2909212
22	0.2907992
23	0.290848
24	0.2908236
25	0.290909
26	0.2908358
27	0.2908907
28	0.290787
29	0.2909273
30	0.2908114
31	0.290787
32	0.2908602
33	0.2907931
34	0.290726
35	0.2908907
36	0.2907565
37	0.2908419
38	0.2908663
39	0.2908663
40	0.2908236
41	0.2908907
42	0.2907687
43	0.290848
44	0.290848
45	0.2907626
46	0.2907992
47	0.2909029
48	0.2907992
49	0.2907504
50	0.2907443
51	0.2909151
52	0.2907748
53	0.2909334
54	0.2908236
55	0.2907565
56	0.2906955
57	0.2908968
58	0.2907992
59	0.2907565
60	0.2908053
61	0.2907687
62	0.2906833
63	0.2908114
64	0.2907382
65	0.2907931
66	0.2909517
67	0.290848
68	0.2908602
69	0.2907382
70	0.29097
71	0.2909578
72	0.2907382
73	0.2909151
74	0.2908053
75	0.2907443
76	0.2908175
77	0.2907931
78	0.2907809
79	0.2907809
80	0.2907687
81	0.2908724
82	0.2908846
83	0.2907321
84	0.2908541
85	0.290726
86	0.2908846
87	0.2908541
88	0.2907321
89	0.2907931
90	0.2909151
91	0.2908541
92	0.2907565
93	0.2908175
94	0.2908663
95	0.2908297
96	0.2907504
97	0.2908175
98	0.2908358
99	0.2908419
100	0.2908297
