UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2214605
1	0.2214788
2	0.2214483
3	0.22143
4	0.2214422
5	0.2214483
6	0.2214788
7	0.2214178
8	0.2214727
9	0.2214544
10	0.2214849
11	0.2214361
12	0.2214544
13	0.2215032
14	0.2214605
15	0.2215154
16	0.2215459
17	0.2214239
18	0.2214666
19	0.2214666
20	0.22143
21	0.2214666
22	0.2214239
23	0.2214544
24	0.2214727
25	0.2215154
26	0.2214727
27	0.2214788
28	0.2215032
29	0.2214483
30	0.221491
31	0.2214666
32	0.221491
33	0.2214849
34	0.2214239
35	0.2214605
36	0.2215093
37	0.2214483
38	0.2214666
39	0.2214483
40	0.2214849
41	0.2214178
42	0.2214117
43	0.2214544
44	0.2214422
45	0.2214727
46	0.2214361
47	0.2215032
48	0.2214727
49	0.2214849
50	0.221491
51	0.2214544
52	0.2214483
53	0.2214849
54	0.2214544
55	0.2214605
56	0.2214849
57	0.2214788
58	0.2214239
59	0.2214361
60	0.2214178
61	0.2214849
62	0.2214605
63	0.2214971
64	0.2214971
65	0.2214605
66	0.2215093
