UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2917569
1	0.2918423
2	0.2917874
3	0.2918789
4	0.2918362
5	0.2918057
6	0.291763
7	0.2918301
8	0.2918484
9	0.2918545
10	0.2918484
11	0.2918728
12	0.2917813
13	0.2918301
14	0.2918545
15	0.2917813
16	0.2918362
17	0.2918362
18	0.2917996
19	0.2918179
20	0.2918179
21	0.2917935
22	0.2918972
23	0.2917508
24	0.2918789
25	0.2917569
26	0.2919155
27	0.2918423
28	0.2917447
29	0.2917874
30	0.2917569
31	0.2917935
32	0.2918057
33	0.2918301
34	0.2918057
35	0.2918728
36	0.2918057
37	0.2917996
38	0.2917569
39	0.2917752
40	0.2918728
41	0.291824
42	0.2918606
43	0.2917996
44	0.2918484
45	0.2917996
46	0.2918301
47	0.2918545
48	0.2918667
49	0.2918423
50	0.2917752
51	0.2918179
52	0.2917935
53	0.2917569
54	0.2918179
55	0.2918606
56	0.2918728
57	0.291824
58	0.2917325
59	0.2918118
60	0.2918301
61	0.2918423
62	0.2917752
63	0.2918118
64	0.2918545
65	0.291824
66	0.2918179
67	0.2917691
68	0.2918484
69	0.2918179
70	0.2917447
71	0.2918362
72	0.291824
73	0.2918545
74	0.2917813
75	0.2918301
76	0.291824
77	0.2918484
78	0.2917935
79	0.291824
80	0.2917752
81	0.2918545
82	0.2917996
83	0.2918667
84	0.291824
85	0.2918667
86	0.2918911
87	0.2917203
88	0.2918301
89	0.2918301
90	0.291763
91	0.2918484
92	0.2918179
93	0.2918545
94	0.2917874
95	0.2918667
96	0.2918789
97	0.2917813
98	0.291824
99	0.2918362
100	0.2917935
101	0.2918484
102	0.2918728
