UDS100-Channel(X)	UDS100-Channel(Y)
0	0.280173
1	0.2803072
2	0.2802523
3	0.2802218
4	0.2801669
5	0.2801669
6	0.2801364
7	0.2801608
8	0.280173
9	0.2801791
10	0.2801913
11	0.2801791
12	0.2800876
13	0.280173
14	0.2803072
15	0.280234
16	0.2800815
17	0.2802401
18	0.2801791
19	0.2801791
20	0.2802767
21	0.2803255
22	0.2803255
23	0.280234
24	0.2802401
25	0.2801913
26	0.2801913
27	0.2802279
28	0.2800998
29	0.2801669
30	0.2801791
31	0.2802279
32	0.2801913
33	0.2802279
34	0.2802523
35	0.2802279
36	0.280356
37	0.2802218
38	0.2801608
39	0.2801547
40	0.2801852
41	0.2802706
42	0.2801364
43	0.2802401
44	0.2802645
45	0.280173
46	0.2802157
47	0.2801791
48	0.2801547
49	0.2802645
50	0.2803072
51	0.280295
52	0.2801913
53	0.280234
54	0.280234
55	0.2801486
56	0.2801669
57	0.2801242
58	0.2802401
59	0.2801181
60	0.2801425
61	0.2802767
62	0.2801913
63	0.2802401
64	0.2802279
65	0.2802462
66	0.2801608
67	0.2801303
68	0.2801547
69	0.2802462
70	0.2803255
71	0.2801791
72	0.2801486
73	0.2801791
74	0.2801486
75	0.2802096
76	0.2802462
77	0.280234
78	0.2801974
79	0.2802096
80	0.280234
81	0.2801913
82	0.2802035
83	0.2801608
84	0.2801608
85	0.2800815
86	0.280295
87	0.2802157
88	0.2802828
89	0.2802279
90	0.2801181
91	0.2801608
92	0.2801547
93	0.2801852
94	0.2801364
95	0.2802828
96	0.2802218
97	0.2801852
98	0.2801181
99	0.2802157
