UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2956426
1	0.2956121
2	0.2956365
3	0.2956487
4	0.2955877
5	0.2956548
6	0.2955999
7	0.295606
8	0.2956243
9	0.2956487
10	0.2957097
11	0.2956121
12	0.2957097
13	0.2957097
14	0.2956853
15	0.2956914
16	0.2957097
17	0.2955999
18	0.2957341
19	0.295789
20	0.2956365
21	0.2955999
22	0.2955938
23	0.2957341
24	0.2956243
25	0.2956548
26	0.295667
27	0.2955938
28	0.2956365
29	0.2956304
30	0.2955633
31	0.2957036
32	0.2956609
33	0.2956487
34	0.295728
35	0.2957463
36	0.2956853
37	0.2956243
38	0.2957341
39	0.2956426
40	0.2956853
41	0.2956121
42	0.2957097
43	0.2956182
44	0.2956243
45	0.2957646
46	0.2956548
47	0.2956914
48	0.2956731
49	0.2956487
50	0.295728
51	0.2957219
52	0.2958439
53	0.295667
54	0.2956548
55	0.2956365
56	0.2956426
57	0.2957158
58	0.2955572
59	0.2956426
60	0.2956487
61	0.295606
62	0.2957402
63	0.2956121
64	0.295606
65	0.2956426
66	0.2955511
67	0.2956121
68	0.2956487
69	0.2957524
70	0.2957158
71	0.295667
72	0.2956853
73	0.295667
74	0.2956731
75	0.2956853
76	0.2957158
77	0.2957463
78	0.2956609
79	0.2957036
80	0.2956609
81	0.2956121
82	0.2957585
83	0.2956548
84	0.2957036
85	0.2956426
86	0.2955999
87	0.2956426
88	0.2956731
89	0.2956365
90	0.2956548
91	0.2955877
92	0.2956914
93	0.2957524
94	0.2957036
95	0.2956914
96	0.2955938
97	0.295728
98	0.2957768
99	0.2957951
