UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2964905
1	0.2965027
2	0.2964783
3	0.2965088
4	0.2965271
5	0.2965027
6	0.2964844
7	0.2964356
8	0.2964112
9	0.2965271
10	0.2965027
11	0.2964051
12	0.2964905
13	0.2965088
14	0.2965637
15	0.2963929
16	0.2964173
17	0.2963868
18	0.2965332
19	0.2965027
20	0.2965088
21	0.2964966
22	0.2964051
23	0.2965454
24	0.2964417
25	0.2964966
26	0.2964295
27	0.2965027
28	0.2965698
29	0.2964478
30	0.2964722
31	0.2964295
32	0.296399
33	0.2962892
34	0.2965271
35	0.2964234
36	0.296521
37	0.2964112
38	0.2963197
39	0.2965149
40	0.2965698
41	0.2964844
42	0.2963258
43	0.2964539
44	0.2963624
45	0.2964051
46	0.2964173
47	0.2965149
48	0.2963319
49	0.296338
50	0.2964478
51	0.296399
52	0.2963868
53	0.2964051
54	0.2964539
55	0.2964783
56	0.2964417
57	0.2963807
58	0.2963807
59	0.2964417
60	0.2964356
61	0.2964295
62	0.29646
63	0.2964539
64	0.2963563
65	0.2964295
66	0.2963563
67	0.2963685
68	0.296399
69	0.2963319
70	0.2964051
71	0.2964051
72	0.2964417
73	0.2964356
74	0.2963502
75	0.296582
76	0.2963502
77	0.296399
78	0.2964966
79	0.2964051
80	0.2965027
81	0.2964722
82	0.2963075
83	0.2964783
84	0.2963075
85	0.2962892
86	0.2964173
87	0.2964234
88	0.2964478
89	0.2965149
90	0.2963563
91	0.2964478
92	0.29646
93	0.2964844
94	0.2964417
95	0.2964295
96	0.2965027
97	0.2964051
98	0.2963685
99	0.29646
