UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2900245
1	0.2900977
2	0.2901404
3	0.290116
4	0.290116
5	0.2902319
6	0.2901282
7	0.2901587
8	0.2901404
9	0.2901221
10	0.2900977
11	0.2901892
12	0.2900611
13	0.2900977
14	0.2900062
15	0.2900611
16	0.2901038
17	0.2901221
18	0.2900855
19	0.2902014
20	0.2900611
21	0.2901221
22	0.290116
23	0.2900672
24	0.2900428
25	0.2902075
26	0.2901099
27	0.2900733
28	0.2901465
29	0.2900367
30	0.2901221
31	0.2900428
32	0.2901587
33	0.2899879
34	0.2900672
35	0.2901404
36	0.2901587
37	0.2901709
38	0.2900428
39	0.2899574
40	0.2900855
41	0.2900672
42	0.2901526
43	0.2902441
44	0.2900733
45	0.2900733
46	0.2900306
47	0.2901404
48	0.2900733
49	0.2900855
50	0.2900428
51	0.2900428
52	0.2900184
53	0.2900245
54	0.2900733
55	0.2901221
56	0.2901038
57	0.2901038
58	0.2900916
59	0.2900367
60	0.290055
61	0.2901221
62	0.2900672
63	0.2901648
64	0.2900062
65	0.2899574
66	0.2900611
67	0.2901099
68	0.2900489
69	0.2900489
70	0.2901465
71	0.2900062
72	0.2901038
73	0.2900733
74	0.2900428
75	0.2900733
76	0.2901282
77	0.2899452
78	0.2900855
79	0.2900367
80	0.290055
81	0.2901526
82	0.2901038
83	0.2900611
84	0.2900611
85	0.2900001
86	0.2900672
87	0.2901221
88	0.2900733
89	0.2900245
90	0.290055
91	0.2900855
92	0.2900184
93	0.290055
94	0.2900123
95	0.2900123
96	0.289994
97	0.2900977
98	0.2901465
99	0.2899513
100	0.2900672
101	0.290055
102	0.2899513
103	0.2900306
104	0.2901526
105	0.2900611
106	0.2900123
107	0.2901831
108	0.2899635
