UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2849737
1	0.2849615
2	0.2849737
3	0.284992
4	0.2849676
5	0.2849798
6	0.2849554
7	0.2850286
8	0.2849432
9	0.2849127
10	0.2849127
11	0.2849859
12	0.2849859
13	0.2850042
14	0.2850164
15	0.2849737
16	0.2849432
17	0.2849737
18	0.2850469
19	0.2849554
20	0.2849371
21	0.2849188
22	0.2849554
23	0.2849371
24	0.2849554
25	0.2849615
26	0.2849676
27	0.2848883
28	0.2849493
29	0.2850347
30	0.2849981
31	0.2850042
32	0.2849249
33	0.2849493
34	0.2849615
35	0.2850408
36	0.2849188
37	0.284992
38	0.2850408
39	0.2850225
40	0.2849981
41	0.2849066
42	0.2850225
43	0.2850164
44	0.2849615
45	0.284931
46	0.2850164
47	0.2849249
48	0.284992
49	0.2850164
50	0.2849615
51	0.284992
52	0.2850774
53	0.2850042
54	0.2849249
55	0.2849371
56	0.2850225
57	0.2850042
58	0.2850164
59	0.2849737
60	0.2850469
61	0.2849737
62	0.284992
63	0.2849737
64	0.2850347
65	0.2849798
66	0.2850225
67	0.2849066
68	0.284992
69	0.2849554
70	0.285053
71	0.2850103
72	0.2849737
73	0.28487
74	0.2849676
75	0.2848883
76	0.2849676
77	0.2849432
78	0.2849615
79	0.2849554
80	0.2849432
81	0.284992
82	0.2849493
83	0.2849066
84	0.2850164
85	0.284931
86	0.2850286
87	0.2849188
88	0.2849981
89	0.2848944
90	0.2848944
91	0.2849981
92	0.2849371
93	0.2849859
94	0.2849005
95	0.2848883
96	0.2849798
97	0.2849554
98	0.2849371
99	0.2849005
100	0.2849859
101	0.2849859
