UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2950448
1	0.2948862
2	0.2950143
3	0.2949899
4	0.2949289
5	0.2950875
6	0.2950997
7	0.2949777
8	0.2950448
9	0.2950143
10	0.2951241
11	0.2948191
12	0.2950448
13	0.2950692
14	0.2949655
15	0.2949594
16	0.2949777
17	0.2948313
18	0.2949472
19	0.2950082
20	0.2948862
21	0.2949167
22	0.2949411
23	0.2949777
24	0.295057
25	0.2950082
26	0.2950509
27	0.2950265
28	0.2949655
29	0.2950509
30	0.2950997
31	0.2949289
32	0.2949655
33	0.2949655
34	0.2949838
35	0.2950509
36	0.2950753
37	0.2950509
38	0.2948862
39	0.2948801
40	0.2950448
41	0.2949533
42	0.2950692
43	0.2949838
44	0.2949228
45	0.2949106
46	0.2949106
47	0.2950326
48	0.295118
49	0.2949228
50	0.2949838
51	0.2950814
52	0.2950082
53	0.2950204
54	0.2950753
55	0.294935
56	0.2949472
57	0.2949289
58	0.2949106
59	0.2950021
60	0.2948313
61	0.2950326
62	0.2950875
63	0.2950448
64	0.2949655
65	0.2949289
66	0.2950082
67	0.2950448
68	0.2949533
69	0.2949167
70	0.2951119
71	0.294935
72	0.2949655
73	0.2950509
74	0.2950997
75	0.2950509
76	0.2949655
77	0.2950448
78	0.2950814
79	0.2949411
80	0.2949716
81	0.2950021
82	0.2948862
83	0.2950326
84	0.2950936
85	0.2949533
86	0.2949411
87	0.2950204
88	0.2948862
89	0.2950143
90	0.2949899
91	0.294935
92	0.2950326
93	0.2951363
94	0.2951058
95	0.294874
96	0.2949838
97	0.294996
