UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2927817
1	0.2927268
2	0.292678
3	0.2927207
4	0.2927268
5	0.2927146
6	0.2927939
7	0.2926841
8	0.2927756
9	0.2927451
10	0.2927939
11	0.2928183
12	0.2926597
13	0.2926231
14	0.2928427
15	0.2927878
16	0.2926963
17	0.2927817
18	0.2926597
19	0.2927573
20	0.2927329
21	0.2928427
22	0.2928305
23	0.2928183
24	0.2927085
25	0.2927085
26	0.2927085
27	0.2927329
28	0.2926536
29	0.2926231
30	0.2927451
31	0.2927573
32	0.2927939
33	0.2927512
34	0.2926902
35	0.2928122
36	0.2926597
37	0.2926902
38	0.2926902
39	0.2927024
40	0.2927146
41	0.2928305
42	0.2927207
43	0.2926902
44	0.2927756
45	0.2927512
46	0.2927451
47	0.2927939
48	0.2928427
49	0.2927756
50	0.2927756
51	0.2926902
52	0.2928122
53	0.2927024
54	0.2928671
55	0.292617
56	0.292739
57	0.2927451
58	0.2927512
59	0.2927573
60	0.2927756
61	0.292617
62	0.2927024
63	0.292556
64	0.2927268
65	0.2928488
66	0.2926109
67	0.2927817
68	0.2927024
69	0.292678
70	0.2927268
71	0.2926231
72	0.2927695
73	0.2927573
74	0.2926963
75	0.2926353
76	0.2926719
77	0.2927756
78	0.2927268
79	0.2926658
80	0.2927695
81	0.2927207
82	0.2926109
83	0.2927329
84	0.2927329
85	0.2926963
86	0.2927512
87	0.2927573
88	0.2928183
89	0.2928183
90	0.2927268
91	0.2926353
92	0.2927024
93	0.2927329
94	0.2927939
95	0.292678
96	0.2928305
97	0.2927024
98	0.2927329
