UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2832596
1	0.2832169
2	0.2832291
3	0.2832901
4	0.2832596
5	0.2832352
6	0.2832352
7	0.283223
8	0.2832474
9	0.2832718
10	0.2832169
11	0.283284
12	0.2832596
13	0.2832718
14	0.2831742
15	0.2832474
16	0.2832718
17	0.2832779
18	0.283284
19	0.2832718
20	0.2832291
21	0.2833328
22	0.2832779
23	0.2832596
24	0.2833145
25	0.2832474
26	0.2832779
27	0.2832352
28	0.2832779
29	0.2831986
30	0.2832962
31	0.2831986
32	0.2831864
33	0.2833084
34	0.2831986
35	0.2832901
36	0.2832596
37	0.2832962
38	0.2832718
39	0.2832962
40	0.2832108
41	0.2832169
42	0.283284
43	0.2832718
44	0.2832779
45	0.2832535
46	0.2832596
47	0.2833084
48	0.2832718
49	0.2832901
50	0.2832657
51	0.2832596
52	0.2832718
53	0.283284
54	0.2832352
55	0.2831742
56	0.2832535
57	0.283223
58	0.2832779
59	0.2832474
60	0.2833145
61	0.2832291
62	0.2832047
63	0.2832901
64	0.2832535
65	0.2832596
66	0.2833023
67	0.2832596
68	0.2832413
69	0.2832596
70	0.2832352
71	0.2832535
72	0.2831986
73	0.2832474
74	0.2831803
75	0.2831986
76	0.2832047
77	0.2832291
78	0.2832779
79	0.2832596
80	0.2832413
81	0.2833267
82	0.2833267
83	0.283162
84	0.2832535
85	0.2832657
86	0.2832901
87	0.2833023
88	0.2832352
89	0.2833084
90	0.2832474
91	0.2832779
92	0.2832413
93	0.2832291
94	0.2832413
95	0.2833084
96	0.2833145
97	0.2832352
98	0.2832901
99	0.2833084
100	0.2832291
