UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2944958
1	0.2944958
2	0.2944836
3	0.2944897
4	0.2945141
5	0.2944958
6	0.2944836
7	0.2944958
8	0.2945263
9	0.2944775
10	0.2944958
11	0.2944836
12	0.2944836
13	0.2945751
14	0.2944897
15	0.2944836
16	0.2945141
17	0.2945141
18	0.2944958
19	0.2945202
20	0.2944836
21	0.2944897
22	0.2945202
23	0.2944897
24	0.2944958
25	0.2944775
26	0.2945385
27	0.2945385
28	0.2945263
29	0.2945507
30	0.2944775
31	0.294508
32	0.2945263
33	0.2944958
34	0.2945141
35	0.2945507
36	0.2944958
37	0.294508
38	0.2945019
39	0.2944897
40	0.2944958
41	0.2944958
42	0.2945019
43	0.2945019
44	0.2944958
45	0.2944653
46	0.294508
47	0.2945446
48	0.2944775
49	0.2944653
50	0.2944836
51	0.294508
52	0.2944958
53	0.2945263
54	0.2945141
55	0.2945202
56	0.2945568
57	0.2945202
58	0.2945324
59	0.2945019
60	0.2945141
61	0.2944958
62	0.2944836
63	0.2944653
64	0.2944958
65	0.2945019
66	0.2944836
67	0.2944836
68	0.2945019
69	0.2944897
70	0.2944714
71	0.2945141
72	0.2945019
73	0.2945019
74	0.2945019
75	0.294508
76	0.2945141
77	0.2945141
78	0.2945202
79	0.294508
80	0.2944897
81	0.2944775
82	0.2944958
83	0.294508
84	0.2945019
85	0.2944714
86	0.2945141
87	0.294508
88	0.2945324
89	0.2944714
90	0.2945263
91	0.2944836
92	0.2944836
93	0.2944958
94	0.2945263
95	0.2945019
96	0.2944958
97	0.2944958
98	0.2945019
99	0.2944836
100	0.2944653
101	0.2944836
