UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2599576
1	0.2597624
2	0.2600064
3	0.2598722
4	0.2598722
5	0.2598783
6	0.2599576
7	0.2599454
8	0.2598417
9	0.2597502
10	0.2598783
11	0.259982
12	0.2599881
13	0.2598417
14	0.2598051
15	0.259921
16	0.2598722
17	0.2598478
18	0.2598051
19	0.2598661
20	0.2599454
21	0.259921
22	0.2599454
23	0.2599149
24	0.2598844
25	0.2599942
26	0.2597807
27	0.2598844
28	0.2596282
29	0.2599149
30	0.2600064
31	0.2597868
32	0.2598295
33	0.259799
34	0.2599332
35	0.2599698
36	0.2597868
37	0.2597929
38	0.2598051
39	0.2597563
40	0.2597502
41	0.2598844
42	0.2598356
43	0.2598844
44	0.259799
45	0.2598539
46	0.2598051
47	0.2599027
48	0.2598661
49	0.2598783
50	0.2598234
51	0.2597136
52	0.2597563
53	0.2598417
54	0.2598966
55	0.2596892
56	0.2600003
57	0.2597868
58	0.259799
59	0.25986
60	0.25986
61	0.2597441
62	0.25986
63	0.2597868
64	0.2599088
65	0.2597929
66	0.2598844
67	0.2597685
68	0.259738
69	0.2598295
70	0.259799
71	0.2597807
72	0.2598539
73	0.2598478
74	0.2599271
75	0.2598417
76	0.2597807
77	0.25986
78	0.2597319
79	0.2598417
80	0.2598539
81	0.2598112
82	0.2598417
83	0.2598844
84	0.2598783
85	0.2598966
86	0.259677
87	0.2597868
88	0.2599149
89	0.2598051
90	0.2598051
91	0.2598905
92	0.2598661
93	0.2598966
94	0.2598905
95	0.2598478
96	0.2599698
97	0.2599698
98	0.2598417
99	0.2599454
100	0.2598173
101	0.2598905
