UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2958683
1	0.2959476
2	0.2958683
3	0.295789
4	0.2958561
5	0.2958805
6	0.2958012
7	0.2958073
8	0.2958134
9	0.2956792
10	0.2959232
11	0.2958622
12	0.2957585
13	0.2956853
14	0.2958195
15	0.2957646
16	0.295789
17	0.2957646
18	0.2959415
19	0.2958012
20	0.2956853
21	0.2958744
22	0.2957524
23	0.2957829
24	0.2957829
25	0.2958561
26	0.2958378
27	0.2957829
28	0.295789
29	0.2957158
30	0.2958195
31	0.2958866
32	0.2958256
33	0.2958378
34	0.2956975
35	0.2958134
36	0.2958378
37	0.2957585
38	0.2956853
39	0.2958561
40	0.29585
41	0.2957646
42	0.2958866
43	0.295789
44	0.2957768
45	0.2957463
46	0.2957707
47	0.2957158
48	0.2959049
49	0.2957219
50	0.2958012
51	0.295789
52	0.2957951
53	0.2958439
54	0.2958378
55	0.2958561
56	0.2958012
57	0.2958927
58	0.2959049
59	0.295789
60	0.2958012
61	0.2958561
62	0.2958134
63	0.2957646
64	0.2959232
65	0.2957463
66	0.2958134
67	0.2958256
68	0.2958073
69	0.2957707
70	0.295789
71	0.29585
72	0.2957768
73	0.2957402
74	0.2957951
75	0.2958866
76	0.2959049
77	0.2959049
78	0.2958134
79	0.2957097
80	0.2958744
81	0.2958012
82	0.2958866
83	0.2958073
84	0.2957402
85	0.2957402
86	0.295789
87	0.2957646
88	0.2957402
89	0.2957585
90	0.2957585
91	0.29585
92	0.2958134
93	0.2958622
94	0.2958561
95	0.2957707
96	0.2957524
97	0.2958195
98	0.2957158
99	0.2958378
