UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2677717
1	0.2677412
2	0.2677107
3	0.2677839
4	0.2677961
5	0.2677595
6	0.2678022
7	0.2677717
8	0.2677473
9	0.2677595
10	0.2677595
11	0.2677778
12	0.2677717
13	0.2677961
14	0.2677351
15	0.2677717
16	0.2677656
17	0.2677839
18	0.2677534
19	0.2677717
20	0.2677656
21	0.2677412
22	0.2677595
23	0.2677534
24	0.2677656
25	0.2677717
26	0.2677534
27	0.2677351
28	0.2677473
29	0.2677717
30	0.2677595
31	0.2677961
32	0.2677412
33	0.2677839
34	0.2677778
35	0.2677778
36	0.2677473
37	0.2677656
38	0.2677717
39	0.2677656
40	0.2677961
41	0.2677595
42	0.2677595
43	0.2677717
44	0.2677717
45	0.2678205
46	0.2677595
47	0.2677412
48	0.2677656
49	0.2677534
50	0.2677717
51	0.2677656
52	0.2677534
53	0.2677534
54	0.2677473
55	0.2677656
56	0.2677717
57	0.2677473
58	0.2677656
59	0.2677839
60	0.26779
61	0.2677473
62	0.2677839
63	0.2677595
64	0.2677534
65	0.2677656
66	0.2677717
67	0.2678144
68	0.2677473
69	0.2677595
70	0.2677473
71	0.2677961
72	0.2677595
73	0.2677534
74	0.2677412
75	0.2677534
76	0.2678205
77	0.2677717
78	0.2677595
79	0.2677656
80	0.2677595
81	0.2677961
82	0.2677839
83	0.2677778
84	0.2677534
85	0.2677595
86	0.26779
87	0.2677595
88	0.2677534
89	0.2677534
90	0.2677534
91	0.2677839
92	0.2678083
93	0.2677656
94	0.2677717
95	0.2677534
96	0.2677839
97	0.2677534
98	0.267729
99	0.2677595
100	0.2677595
101	0.2677534
102	0.2677351
103	0.2677534
104	0.2677717
105	0.2677534
106	0.2677656
107	0.267729
108	0.2677473
109	0.2677473
110	0.2677534
111	0.2677717
112	0.2677839
113	0.2677595
114	0.2677961
115	0.2677656
116	0.2677656
117	0.2677778
118	0.2677473
119	0.2677473
120	0.2677778
121	0.2678022
122	0.26779
123	0.267729
124	0.2677778
125	0.2678022
126	0.2677473
127	0.2677717
128	0.2677717
129	0.2677412
130	0.2677534
131	0.2677778
132	0.2677595
133	0.2677717
134	0.2677534
135	0.2678022
136	0.2677534
137	0.2677351
138	0.2677412
139	0.267851
140	0.2677595
