UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2930623
1	0.2930318
2	0.2930928
3	0.2930928
4	0.2931172
5	0.2930501
6	0.2930623
7	0.2930684
8	0.2929891
9	0.2930867
10	0.2930989
11	0.2930623
12	0.2930074
13	0.2930745
14	0.2930501
15	0.2930501
16	0.2930623
17	0.2929647
18	0.2930928
19	0.2930196
20	0.2931111
21	0.2930379
22	0.2931111
23	0.2930806
24	0.2930501
25	0.2930562
26	0.2930379
27	0.2930806
28	0.2930501
29	0.2930501
30	0.2930928
31	0.2930745
32	0.2930501
33	0.2931172
34	0.2930623
35	0.2930379
36	0.2930928
37	0.2930318
38	0.2930745
39	0.2930562
40	0.2930867
41	0.2930989
42	0.2930623
43	0.2930623
44	0.293044
45	0.2930501
46	0.2930379
47	0.2930684
48	0.2930257
49	0.2930806
50	0.2930318
51	0.2930501
52	0.2930501
53	0.293044
54	0.2930867
55	0.2930562
56	0.2930867
57	0.2930989
58	0.2930806
59	0.2930867
60	0.2930501
61	0.2930928
62	0.2930257
63	0.2930928
64	0.2930379
65	0.2930318
66	0.2930562
67	0.2930379
68	0.2930562
69	0.2930135
70	0.2930135
71	0.2930318
72	0.293044
73	0.2930501
74	0.2930806
75	0.2930684
76	0.2930806
77	0.2930257
78	0.2930196
79	0.2930989
80	0.2930562
81	0.2930074
82	0.2930623
83	0.2930379
84	0.2930379
85	0.2930379
86	0.2930684
87	0.2930501
88	0.2930867
89	0.2930867
90	0.292983
91	0.2930684
92	0.2930257
93	0.293044
94	0.293105
95	0.2930501
96	0.2930684
97	0.2930318
98	0.293044
99	0.2930318
