UDS100-Channel(X)	UDS100-Channel(Y)
0	0.2949472
1	0.2949899
2	0.2949045
3	0.2949289
4	0.2948008
5	0.294996
6	0.2950143
7	0.2950753
8	0.2950997
9	0.2949655
10	0.294996
11	0.2949838
12	0.2950265
13	0.294935
14	0.2949228
15	0.2949716
16	0.2949228
17	0.2950021
18	0.2949472
19	0.2949167
20	0.2949289
21	0.2949716
22	0.2949045
23	0.294935
24	0.2948801
25	0.2949533
26	0.2950753
27	0.2949411
28	0.2950692
29	0.2949045
30	0.2950082
31	0.2948862
32	0.2950265
33	0.2949228
34	0.2949777
35	0.2948557
36	0.2949594
37	0.2949106
38	0.2950021
39	0.2949655
40	0.2949899
41	0.2949106
42	0.2949533
43	0.2949838
44	0.2950143
45	0.2949777
46	0.2950265
47	0.2950509
48	0.2949167
49	0.2950021
50	0.2950143
51	0.2948679
52	0.2949838
53	0.2948069
54	0.2949594
55	0.2950021
56	0.2950082
57	0.2949411
58	0.2948374
59	0.2949655
60	0.2949411
61	0.2949655
62	0.294935
63	0.2949777
64	0.2949655
65	0.2949777
66	0.2950082
67	0.2949289
68	0.2949167
69	0.2949411
70	0.2948374
71	0.2949533
72	0.2950021
73	0.2949472
74	0.294996
75	0.2951241
76	0.2949411
77	0.2949716
78	0.2950021
79	0.2949411
80	0.2949228
81	0.2949777
82	0.2949472
83	0.295118
84	0.2949411
85	0.2949411
86	0.2949899
87	0.2949594
88	0.2950143
89	0.2948252
90	0.2948008
91	0.2948496
92	0.2950082
93	0.2949472
94	0.2949899
95	0.2949899
96	0.2948984
97	0.2948557
98	0.2948496
99	0.2950448
